filter,level,organism
Copiotroficos,Class,Bacilli
Copiotroficos,Class,Gammaproteobacteria
Copiotroficos,Family,Micrococcaceae
Fosforo,Genus,Bacillus
Fosforo,Genus,Pseudomonas
Fosforo,Genus,Achromobacter
Fosforo,Genus,Arthrobacter
Fosforo,Genus,Paenibacillus
Fosforo,Genus,Streptomyces
Fosforo,Genus,Clostridium
Fosforo,Genus,Flavobacterium
Fosforo,Genus,Rhizobium
Fosforo,Genus,Rhodococcus
Fosforo,Genus,Agrobacterium
Fosforo,Genus,Collimonas
Fosforo,Genus,Phyllobacterium
Fosforo,Genus,Burkholderia
Fosforo,Genus,Delftia
Fosforo,Genus,Chryseobacterium
Fosforo,Genus,Micrococcus
Fosforo,Genus,Erwinia
Fosforo,Genus,Enterobacter
Nitroactivos,Phylum,Cyanobacteria
Nitroactivos,Order,Rhizobiales
Nitroactivos,Order,Rhodospirillales
MicroNitroactivos,Genus,Bacillus
MicroNitroactivos,Genus,Mycobacterium
MicroNitroactivos,Genus,Micromonospora
MicroNitroactivos,Genus,Pseudomonas
MicroNitroactivos,Genus,Arthrobacter
MicroNitroactivos,Genus,Streptomyces
MicroNitroactivos,Genus,Clostridium
MicroNitroactivos,Genus,Frankia
MicroNitroactivos,Genus,Agromyces
MicroNitroactivos,Genus,Burkholderia
MicroNitroactivos,Genus,Corynebacterium
MicroNitroactivos,Genus,Propionibacterium
MicroNitroactivos,Genus,Cupriavidus
PGPR,Genus,Bacillus
PGPR,Genus,Pseudomonas
PGPR,Genus,Paenibacillus
PGPR,Genus,Azospirillum
PGPR,Genus,Streptomyces
PGPR,Genus,Bradyrhizobium
PGPR,Genus,Frankia
PGPR,Genus,Rhizobium
PGPR,Genus,Agrobacterium
PGPR,Genus,Burkholderia
PGPR,Genus,Delftia
PGPR,Genus,Acetobacterium
PGPR,Genus,Nostoc
ACCD,Genus,Bacillus
ACCD,Genus,Pseudomonas
ACCD,Genus,Achromobacter
ACCD,Genus,Paenibacillus
ACCD,Genus,Variovorax
ACCD,Genus,Agromyces
ACCD,Genus,Sinorhizobium
ACCD,Genus,Microbacterium
ACCD,Genus,Burkholderia
ACCD,Genus,Methylophaga
ACCD,Genus,Enterobacter
